AnimalID,AnimalType,Intake Date,IntakeYear,IntakeMonth,Name,Breed,Estimated Age,Sex,SpayNeuter,Size,Color,IntakeType,Outcome Type,Outcome Subtype,Zip Where Found,Latitude,Longitude,Zip Where Placed,OutcomeDate,OutcomeYear,OutcomeMonth
A448897,DOG,2011-12-07T00:00:00Z,2011,December,SMOKEY,PUG - CHIHUAHUA SH,Older than 1 year,MALE,TRUE,SMALL,BR BRINDLE,Owner Surrender,Adopted,Petsmart Hurstborne,40211,38.2414,-85.8118,40299,2011-12-17T00:00:00Z,2011,December
A448898,DOG,2011-12-07T00:00:00Z,2011,December,BOSS,PIT BULL - MIX,Older than 1 year,MALE,FALSE,LARGE,WHITE,Owner Surrender,Euthanized,Time and Space,40211,38.2414,-85.8118,UNKNOWN,2012-01-04T00:00:00Z,2012,January
A448899,DOG,2011-12-07T00:00:00Z,2011,December,OTTO,UNKNOWN,UNKNOWN,MALE,TRUE,SMALL,BROWN,Owner Surrender,Euthanized,Requested,40272,38.0961,-85.8599,UNKNOWN,2011-12-07T00:00:00Z,2011,December
A448900,CAT,2011-12-07T00:00:00Z,2011,December,SHEERAH,UNKNOWN,Older than 1 year,MALE,TRUE,LARGE,BLACK,Owner Surrender,Adopted,Internet,UNKNOWN,UNKNOWN,UNKNOWN,40211,2012-02-07T00:00:00Z,2012,February
A448901,CAT,2011-12-07T00:00:00Z,2011,December,UNKNOWN,UNKNOWN,Infant - Younger than 6 months,FEMALE,FALSE,KITTN,BRN TABBY,Owner Surrender,Euthanized,Medical,40210,38.2307,-85.7867,UNKNOWN,2011-12-07T00:00:00Z,2011,December
A448902,CAT,2011-12-07T00:00:00Z,2011,December,UNKNOWN,UNKNOWN,Infant - Younger than 6 months,FEMALE,FALSE,KITTN,BRN TABBY,Owner Surrender,Euthanized,Medical,40210,38.2307,-85.7867,UNKNOWN,2011-12-07T00:00:00Z,2011,December
A448903,DOG,2011-12-07T00:00:00Z,2011,December,KING,CAIRN TERRIER - BORDER TERRIER,Older than 1 year,MALE,TRUE,MED,TAN,Stray,Adopted,Web PF,40208,38.2188,-85.7624,40047,2011-12-16T00:00:00Z,2011,December
A448904,DOG,2011-12-07T00:00:00Z,2011,December,UNKNOWN,CHOW CHOW - PUG,Youth - Younger than 1 year,MALE,FALSE,MED,TAN,Owner Surrender,Euthanized,Behavior,40258,38.1417,-85.8638,UNKNOWN,2011-12-07T00:00:00Z,2011,December
A448905,DOG,2011-12-07T00:00:00Z,2011,December,SUSIE,BEAGLE - COLLIE SMOOTH,Youth - Younger than 1 year,FEMALE,TRUE,SMALL,WHITE,Owner Surrender,Transferred to Rescue Group,Rescue Group,40258,38.1417,-85.8638,2740,2011-12-16T00:00:00Z,2011,December
A448907,CAT,2011-12-07T00:00:00Z,2011,December,CJ,UNKNOWN,Youth - Younger than 1 year,MALE,TRUE,MED,ORG TABBY,Owner Surrender,Adopted,Facebook,40215,38.1919,-85.7841,40272,2012-02-11T00:00:00Z,2012,February
A448909,CAT,2011-12-07T00:00:00Z,2011,December,TIGERLILY,UNKNOWN,Youth - Younger than 1 year,FEMALE,TRUE,MED,TORTIE,Owner Surrender,Foster,Time and Space,40215,38.1919,-85.7841,40222,2012-03-13T00:00:00Z,2012,March
A448909,CAT,2012-04-29T00:00:00Z,2012,April,TIGERLILY,UNKNOWN,Youth - Younger than 1 year,FEMALE,TRUE,MED,TORTIE,Foster Return,Adopted,Friend,40222,38.2651,-85.6132,40204,2012-04-29T00:00:00Z,2012,April
A448915,DOG,2011-12-07T00:00:00Z,2011,December,CIARA,UNKNOWN,Infant - Younger than 6 months,FEMALE,FALSE,TOY,TAN,Stray,Returned to Owner,UNKNOWN,40216,38.1889,-85.8314,40216,2011-12-08T00:00:00Z,2011,December
A448916,DOG,2011-12-07T00:00:00Z,2011,December,UNKNOWN,UNKNOWN,UNKNOWN,MALE,FALSE,SMALL,BLACK,Stray,Euthanized,Behavior,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,2011-12-28T00:00:00Z,2011,December
A448917,DOG,2011-12-07T00:00:00Z,2011,December,UNKNOWN,UNKNOWN,UNKNOWN,FEMALE,FALSE,MED,WHITE,Stray,Transferred to Rescue Group,UNKNOWN,40219,38.1416,-85.6822,UNKNOWN,2011-12-10T00:00:00Z,2011,December
A448918,CAT,2011-12-07T00:00:00Z,2011,December,UNKNOWN,UNKNOWN,UNKNOWN,MALE,FALSE,MED,ORG TABBY,Stray,Euthanized,Medical,40258,38.1417,-85.8638,UNKNOWN,2011-12-08T00:00:00Z,2011,December
A448919,CAT,2011-12-07T00:00:00Z,2011,December,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,FALSE,MED,BLACK,Stray,Euthanized,Behavior,40216,38.1889,-85.8314,UNKNOWN,2012-02-05T00:00:00Z,2012,February
A448920,CAT,2011-12-07T00:00:00Z,2011,December,UNKNOWN,UNKNOWN,UNKNOWN,MALE,FALSE,MED,ORG TABBY,Stray,Euthanized,Medical,40212,38.2663,-85.8,UNKNOWN,2012-01-17T00:00:00Z,2012,January
A448921,DOG,2011-12-07T00:00:00Z,2011,December,CHIGGER,CHIHUAHUA SH - PUG,Older than 1 year,MALE,TRUE,MED,BROWN,Stray,Returned to Owner,UNKNOWN,40215,38.1919,-85.7841,40213,2011-12-09T00:00:00Z,2011,December
A448922,CAT,2011-12-07T00:00:00Z,2011,December,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,FALSE,MED,BLACK,Stray,Euthanized,Medical,40210,38.2307,-85.7867,UNKNOWN,2011-12-12T00:00:00Z,2011,December
A448923,CAT,2011-12-07T00:00:00Z,2011,December,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,FALSE,MED,BLACK,Stray,Euthanized,Behavior,40203,38.2481,-85.7665,UNKNOWN,2011-12-13T00:00:00Z,2011,December
A448924,DOG,2011-12-07T00:00:00Z,2011,December,UNKNOWN,UNKNOWN,Youth - Younger than 1 year,MALE,FALSE,TOY,BLACK,Owner Surrender,Died,at Foster,40272,38.0961,-85.8599,UNKNOWN,2011-12-10T00:00:00Z,2011,December
A448926,DOG,2012-01-04T00:00:00Z,2012,January,HARLEY,UNKNOWN,Older than 1 year,FEMALE,TRUE,X-LRG,BLACK,Owner Surrender,Adopted,Web PF,40215,38.1919,-85.7841,40047,2012-01-10T00:00:00Z,2012,January
A448926,DOG,2011-12-08T00:00:00Z,2011,December,HARLEY,UNKNOWN,Older than 1 year,FEMALE,TRUE,X-LRG,BLACK,Stray,Returned to Owner,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,40215,2012-01-03T00:00:00Z,2012,January
A448948,CAT,2011-12-08T00:00:00Z,2011,December,ORBIT,UNKNOWN,Infant - Younger than 6 months,FEMALE,TRUE,KITTN,WHITE,Stray,Adopted,Web PF,UNKNOWN,UNKNOWN,UNKNOWN,40299,2012-01-11T00:00:00Z,2012,January
A448949,CAT,2011-12-08T00:00:00Z,2011,December,BLUE,UNKNOWN,UNKNOWN,FEMALE,TRUE,LARGE,BLACK,Owner Surrender,Euthanized,Requested,40216,38.1889,-85.8314,UNKNOWN,2011-12-08T00:00:00Z,2011,December
A448950,CAT,2011-12-08T00:00:00Z,2011,December,STERLING,UNKNOWN,Youth - Younger than 1 year,FEMALE,TRUE,MED,GRAY TABBY,Stray,Adopted,Petsmart Hurstborne,40214,38.1609,-85.7762,40243,2012-04-08T00:00:00Z,2012,April
A448951,DOG,2011-12-08T00:00:00Z,2011,December,BELLA,UNKNOWN,Older than 1 year,FEMALE,TRUE,SMALL,CREAM,Stray,Adopted,Walk In,40213,38.1861,-85.713,40211,2011-12-22T00:00:00Z,2011,December
A448952,DOG,2011-12-08T00:00:00Z,2011,December,UNKNOWN,UNKNOWN,Older than 1 year,FEMALE,FALSE,MED,BR BRINDLE,Stray,Euthanized,Medical,40211,38.2414,-85.8118,UNKNOWN,2012-01-10T00:00:00Z,2012,January
A448953,CAT,2011-12-08T00:00:00Z,2011,December,UNKNOWN,UNKNOWN,Older than 1 year,FEMALE,FALSE,LARGE,BLK TABBY,Stray,Euthanized,Medical,40214,38.1609,-85.7762,UNKNOWN,2011-12-19T00:00:00Z,2011,December
A448954,CAT,2011-12-08T00:00:00Z,2011,December,UNKNOWN,UNKNOWN,Older than 1 year,FEMALE,FALSE,MED,GRAY,Owner Surrender,Euthanized,Behavior,40220,38.215,-85.6221,UNKNOWN,2011-12-11T00:00:00Z,2011,December
A448955,CAT,2011-12-08T00:00:00Z,2011,December,UNKNOWN,UNKNOWN,Older than 1 year,FEMALE,FALSE,MED,BRN TABBY,Owner Surrender,Euthanized,Behavior,40220,38.215,-85.6221,UNKNOWN,2011-12-11T00:00:00Z,2011,December
A448956,CAT,2011-12-08T00:00:00Z,2011,December,UNKNOWN,UNKNOWN,Infant - Younger than 6 months,UNKNOWN,FALSE,KITTN,BRN TABBY,Owner Surrender,Euthanized,Medical,40220,38.215,-85.6221,UNKNOWN,2011-12-11T00:00:00Z,2011,December
A448957,CAT,2011-12-08T00:00:00Z,2011,December,UNKNOWN,UNKNOWN,Infant - Younger than 6 months,UNKNOWN,FALSE,KITTN,BRN TABBY,Owner Surrender,Euthanized,Medical,40220,38.215,-85.6221,UNKNOWN,2011-12-11T00:00:00Z,2011,December
A448958,CAT,2011-12-08T00:00:00Z,2011,December,UNKNOWN,UNKNOWN,Infant - Younger than 6 months,UNKNOWN,FALSE,KITTN,GRAY TABBY,Owner Surrender,Euthanized,Medical,40220,38.215,-85.6221,UNKNOWN,2011-12-11T00:00:00Z,2011,December
A448959,CAT,2011-12-08T00:00:00Z,2011,December,UNKNOWN,UNKNOWN,Infant - Younger than 6 months,UNKNOWN,FALSE,KITTN,BLACK,Owner Surrender,Euthanized,Medical,40220,38.215,-85.6221,UNKNOWN,2011-12-11T00:00:00Z,2011,December
A448962,CAT,2011-12-08T00:00:00Z,2011,December,UNKNOWN,UNKNOWN,UNKNOWN,MALE,FALSE,MED,BRN TABBY,Stray,Euthanized,Medical,40210,38.2307,-85.7867,UNKNOWN,2011-12-19T00:00:00Z,2011,December
A448963,DOG,2011-12-08T00:00:00Z,2011,December,UNKNOWN,UNKNOWN,Infant - Younger than 6 months,FEMALE,TRUE,PUPPY,WHITE,Stray,Foster,UNKNOWN,40214,38.1609,-85.7762,40216,2011-12-27T00:00:00Z,2011,December
A448963,DOG,2012-01-27T00:00:00Z,2012,January,UNKNOWN,UNKNOWN,Infant - Younger than 6 months,FEMALE,TRUE,PUPPY,WHITE,Foster Return,Foster,Time and Space,40215,38.1919,-85.7841,40216,2012-01-27T00:00:00Z,2012,January
A448963,DOG,2012-04-04T00:00:00Z,2012,April,UNKNOWN,UNKNOWN,Youth - Younger than 1 year,FEMALE,TRUE,PUPPY,WHITE,Foster Return,Transferred to Rescue Group,Rescue Group,40216,38.1889,-85.8314,UNKNOWN,2012-04-04T00:00:00Z,2012,April
